,precision,recall,f1-score,support
1,0.9933333333333333,0.9933333333333333,0.9933333333333333,300.0
2,0.891566265060241,0.9866666666666667,0.9367088607594937,300.0
3,0.9658703071672355,0.9433333333333334,0.954468802698145,300.0
4,0.9864406779661017,0.97,0.9781512605042016,300.0
5,0.9928571428571429,0.9266666666666666,0.9586206896551724,300.0
accuracy,0.964,0.964,0.964,0.964
macro avg,0.9660135452768108,0.9640000000000001,0.9642565893900693,1500.0
weighted avg,0.966013545276811,0.964,0.9642565893900692,1500.0
