,precision,recall,f1-score,support
Falso,0.9829396325459318,0.9986666666666667,0.9907407407407407,750.0
Verdadeiro,0.9986449864498645,0.9826666666666667,0.9905913978494624,750.0
accuracy,0.9906666666666667,0.9906666666666667,0.9906666666666667,0.9906666666666667
macro avg,0.9907923094978981,0.9906666666666667,0.9906660692951015,1500.0
weighted avg,0.9907923094978981,0.9906666666666667,0.9906660692951015,1500.0
