,precision,recall,f1-score,support
A,0.944078947368421,0.9566666666666667,0.9503311258278145,300.0
B,0.9618055555555556,0.9233333333333333,0.9421768707482994,300.0
C,0.9223300970873787,0.95,0.9359605911330049,300.0
D,0.9255663430420712,0.9533333333333334,0.9392446633825944,300.0
E,0.9482758620689655,0.9166666666666666,0.9322033898305084,300.0
accuracy,0.94,0.94,0.94,0.94
macro avg,0.9404113610244783,0.9400000000000001,0.9399833281844444,1500.0
weighted avg,0.9404113610244785,0.94,0.9399833281844444,1500.0
