,precision,recall,f1-score,support
A,0.6855670103092784,0.44333333333333336,0.5384615384615384,300.0
B,0.7707006369426752,0.4033333333333333,0.5295404814004376,300.0
C,0.6697819314641744,0.7166666666666667,0.6924315619967794,300.0
D,0.7218934911242604,0.4066666666666667,0.5202558635394456,300.0
E,0.3611532625189681,0.7933333333333333,0.49635036496350365,300.0
accuracy,0.5526666666666666,0.5526666666666666,0.5526666666666666,0.5526666666666666
macro avg,0.6418192664718714,0.5526666666666668,0.5554079620723409,1500.0
weighted avg,0.6418192664718714,0.5526666666666666,0.5554079620723408,1500.0
