,precision,recall,f1-score,support
A,0.9230769230769231,0.96,0.9411764705882353,300.0
B,0.9435215946843853,0.9466666666666667,0.9450915141430949,300.0
C,0.9366666666666666,0.9366666666666666,0.9366666666666666,300.0
D,0.930921052631579,0.9433333333333334,0.9370860927152318,300.0
E,0.9434628975265018,0.89,0.9159519725557461,300.0
accuracy,0.9353333333333333,0.9353333333333333,0.9353333333333333,0.9353333333333333
macro avg,0.9355298269172113,0.9353333333333333,0.9351945433337949,1500.0
weighted avg,0.9355298269172111,0.9353333333333333,0.935194543333795,1500.0
