,precision,recall,f1-score,support
Falso,0.9772727272727273,0.9746666666666667,0.9759679572763685,750.0
Verdadeiro,0.9747340425531915,0.9773333333333334,0.9760319573901465,750.0
accuracy,0.976,0.976,0.976,0.976
macro avg,0.9760033849129595,0.976,0.9759999573332575,1500.0
weighted avg,0.9760033849129596,0.976,0.9759999573332576,1500.0
