,precision,recall,f1-score,support
1,0.9766666666666667,0.9766666666666667,0.9766666666666667,300.0
2,0.9459459459459459,0.9333333333333333,0.9395973154362416,300.0
3,0.9105431309904153,0.95,0.9298531810766721,300.0
4,0.934640522875817,0.9533333333333334,0.9438943894389439,300.0
5,0.9333333333333333,0.8866666666666667,0.9094017094017094,300.0
accuracy,0.94,0.94,0.94,0.94
macro avg,0.9402259199624357,0.9400000000000001,0.9398826524040468,1500.0
weighted avg,0.9402259199624357,0.94,0.9398826524040466,1500.0
