,precision,recall,f1-score,support
1,0.9933110367892977,0.99,0.991652754590985,300.0
2,0.9673202614379085,0.9866666666666667,0.976897689768977,300.0
3,0.9265175718849841,0.9666666666666667,0.9461663947797716,300.0
4,0.9701986754966887,0.9766666666666667,0.973421926910299,300.0
5,0.9928571428571429,0.9266666666666666,0.9586206896551724,300.0
accuracy,0.9693333333333334,0.9693333333333334,0.9693333333333334,0.9693333333333334
macro avg,0.9700409376932043,0.9693333333333334,0.9693518911410411,1500.0
weighted avg,0.9700409376932043,0.9693333333333334,0.969351891141041,1500.0
