,precision,recall,f1-score,support
1,0.8643067846607669,0.9766666666666667,0.917057902973396,300.0
2,0.8991596638655462,0.7133333333333334,0.7955390334572491,300.0
3,0.8025078369905956,0.8533333333333334,0.827140549273021,300.0
4,0.9552845528455285,0.7833333333333333,0.8608058608058609,300.0
5,0.6703910614525139,0.8,0.729483282674772,300.0
accuracy,0.8253333333333334,0.8253333333333334,0.8253333333333334,0.8253333333333334
macro avg,0.8383299799629901,0.8253333333333334,0.8260053258368598,1500.0
weighted avg,0.8383299799629902,0.8253333333333334,0.8260053258368598,1500.0
